,title,year,genre,name
0,The Matrix,1999,action,Keanu Reeves
1,The Matrix,1999,action,
2,The Matrix,1999,action,Laurence Fishburne
3,The Matrix,1999,action,
4,The Matrix,1999,action,Carrie-Anne Moss
5,The Matrix,1999,action,
6,The Matrix,1999,action,Joe Pantoliano
7,The Matrix,1999,action,
8,The Matrix,1999,action,Hugo Weaving
9,The Lord of the Rings: The Fellowship of the Ring,2001,action,Elijah Wood
10,The Lord of the Rings: The Fellowship of the Ring,2001,action,
11,The Lord of the Rings: The Fellowship of the Ring,2001,action,Ian McKellen
12,The Lord of the Rings: The Fellowship of the Ring,2001,action,
13,The Lord of the Rings: The Fellowship of the Ring,2001,action,Viggo Mortensen
14,The Lord of the Rings: The Fellowship of the Ring,2001,action,
15,The Lord of the Rings: The Fellowship of the Ring,2001,action,Sean Astin
16,The Lord of the Rings: The Fellowship of the Ring,2001,action,
17,The Lord of the Rings: The Fellowship of the Ring,2001,action,Sean Bean
18,Gladiator,2000,action,Russell Crowe
19,Gladiator,2000,action,
20,Gladiator,2000,action,Joaquin Phoenix
21,Gladiator,2000,action,
22,Gladiator,2000,action,Connie Nielsen
23,Gladiator,2000,action,
24,Gladiator,2000,action,Oliver Reed
25,Gladiator,2000,action,
26,Gladiator,2000,action,Richard Harris
27,Kill Bill: Volume 1,2003,action,Uma Thurman
28,Kill Bill: Volume 1,2003,action,
29,Kill Bill: Volume 1,2003,action,Lucy Liu
30,Kill Bill: Volume 1,2003,action,
31,Kill Bill: Volume 1,2003,action,Daryl Hannah
32,Kill Bill: Volume 1,2003,action,
33,Kill Bill: Volume 1,2003,action,Vivica A. Fox
34,Kill Bill: Volume 1,2003,action,
35,Kill Bill: Volume 1,2003,action,Sonny Chiba
36,The Lord of the Rings: The Return of the King,2003,action,Elijah Wood
37,The Lord of the Rings: The Return of the King,2003,action,
38,The Lord of the Rings: The Return of the King,2003,action,Viggo Mortensen
39,The Lord of the Rings: The Return of the King,2003,action,
40,The Lord of the Rings: The Return of the King,2003,action,Ian McKellen
41,The Lord of the Rings: The Return of the King,2003,action,
42,The Lord of the Rings: The Return of the King,2003,action,Sean Astin
43,The Lord of the Rings: The Return of the King,2003,action,
44,The Lord of the Rings: The Return of the King,2003,action,Andy Serkis
45,The Lord of the Rings: The Two Towers,2002,action,Elijah Wood
46,The Lord of the Rings: The Two Towers,2002,action,
47,The Lord of the Rings: The Two Towers,2002,action,Viggo Mortensen
48,The Lord of the Rings: The Two Towers,2002,action,
49,The Lord of the Rings: The Two Towers,2002,action,Ian McKellen
50,The Lord of the Rings: The Two Towers,2002,action,
51,The Lord of the Rings: The Two Towers,2002,action,Sean Astin
52,The Lord of the Rings: The Two Towers,2002,action,
53,The Lord of the Rings: The Two Towers,2002,action,Andy Serkis
54,Avatar,2009,action,Sam Worthington
55,Avatar,2009,action,
56,Avatar,2009,action,Zoe Saldana
57,Avatar,2009,action,
58,Avatar,2009,action,Sigourney Weaver
59,Avatar,2009,action,
60,Avatar,2009,action,Stephen Lang
61,Avatar,2009,action,
62,Avatar,2009,action,Michelle Rodriguez
63,Inception,2010,action,Leonardo DiCaprio
64,Inception,2010,action,
65,Inception,2010,action,Joseph Gordon-Levitt
66,Inception,2010,action,
67,Inception,2010,action,Elliot Page
68,Inception,2010,action,
69,Inception,2010,action,Ken Watanabe
70,Inception,2010,action,
71,Inception,2010,action,Marion Cotillard
72,Inglourious Basterds,2009,action,Brad Pitt
73,Inglourious Basterds,2009,action,
74,Inglourious Basterds,2009,action,Christoph Waltz
75,Inglourious Basterds,2009,action,
76,Inglourious Basterds,2009,action,Mélanie Laurent
77,Inglourious Basterds,2009,action,
78,Inglourious Basterds,2009,action,Diane Kruger
79,Inglourious Basterds,2009,action,
80,Inglourious Basterds,2009,action,Michael Fassbender
81,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,Johnny Depp
82,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,
83,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,Orlando Bloom
84,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,
85,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,Keira Knightley
86,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,
87,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,Geoffrey Rush
88,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,
89,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,Jack Davenport
90,The Dark Knight,2008,action,Christian Bale
91,The Dark Knight,2008,action,
92,The Dark Knight,2008,action,Heath Ledger
93,The Dark Knight,2008,action,
94,The Dark Knight,2008,action,Aaron Eckhart
95,The Dark Knight,2008,action,
96,The Dark Knight,2008,action,Michael Caine
97,The Dark Knight,2008,action,
98,The Dark Knight,2008,action,Gary Oldman
99,300,2006,action,Gerard Butler
100,300,2006,action,
101,300,2006,action,Lena Headey
102,300,2006,action,
103,300,2006,action,David Wenham
104,300,2006,action,
105,300,2006,action,Dominic West
106,300,2006,action,
107,300,2006,action,Vincent Regan
108,The Terminator,1984,action,Arnold Schwarzenegger
109,The Terminator,1984,action,
110,The Terminator,1984,action,Linda Hamilton
111,The Terminator,1984,action,
112,The Terminator,1984,action,Michael Biehn
113,The Terminator,1984,action,
114,The Terminator,1984,action,Paul Winfield
115,The Terminator,1984,action,
116,The Terminator,1984,action,Lance Henriksen
117,Kill Bill: Volume 2,2004,action,Uma Thurman
118,Kill Bill: Volume 2,2004,action,
119,Kill Bill: Volume 2,2004,action,David Carradine
120,Kill Bill: Volume 2,2004,action,
121,Kill Bill: Volume 2,2004,action,Lucy Liu
122,Kill Bill: Volume 2,2004,action,
123,Kill Bill: Volume 2,2004,action,Vivica A. Fox
124,Kill Bill: Volume 2,2004,action,
125,Kill Bill: Volume 2,2004,action,Gordon Liu
126,Men in Black (MIB),1997,action,Tommy Lee Jones
127,Men in Black (MIB),1997,action,
128,Men in Black (MIB),1997,action,Will Smith
129,Men in Black (MIB),1997,action,
130,Men in Black (MIB),1997,action,Linda Fiorentino
131,Men in Black (MIB),1997,action,
132,Men in Black (MIB),1997,action,Vincent D'Onofrio
133,Men in Black (MIB),1997,action,
134,Men in Black (MIB),1997,action,Rip Torn
135,Reservoir Dogs,1992,action,Tim Roth
136,Reservoir Dogs,1992,action,
137,Reservoir Dogs,1992,action,Harvey Keitel
138,Reservoir Dogs,1992,action,
139,Reservoir Dogs,1992,action,Steve Buscemi
140,Reservoir Dogs,1992,action,
141,Reservoir Dogs,1992,action,Michael Madsen
142,Reservoir Dogs,1992,action,
143,Reservoir Dogs,1992,action,Chris Penn
144,The Departed,2006,action,Leonardo DiCaprio
145,The Departed,2006,action,
146,The Departed,2006,action,Matt Damon
147,The Departed,2006,action,
148,The Departed,2006,action,Jack Nicholson
149,The Departed,2006,action,
150,The Departed,2006,action,Mark Wahlberg
151,The Departed,2006,action,
152,The Departed,2006,action,Vera Farmiga
153,Blade Runner,1982,action,Harrison Ford
154,Blade Runner,1982,action,
155,Blade Runner,1982,action,Rutger Hauer
156,Blade Runner,1982,action,
157,Blade Runner,1982,action,Sean Young
158,Blade Runner,1982,action,
159,Blade Runner,1982,action,Daryl Hannah
160,Blade Runner,1982,action,
161,Blade Runner,1982,action,Edward James Olmos
162,Raiders of the Lost Ark,1981,action,Harrison Ford
163,Raiders of the Lost Ark,1981,action,
164,Raiders of the Lost Ark,1981,action,Karen Allen
165,Raiders of the Lost Ark,1981,action,
166,Raiders of the Lost Ark,1981,action,Paul Freeman
167,Raiders of the Lost Ark,1981,action,
168,Raiders of the Lost Ark,1981,action,Ronald Lacey
169,Raiders of the Lost Ark,1981,action,
170,Raiders of the Lost Ark,1981,action,John Rhys-Davies
171,V for Vendetta,2005,action,Natalie Portman
172,V for Vendetta,2005,action,
173,V for Vendetta,2005,action,Hugo Weaving
174,V for Vendetta,2005,action,
175,V for Vendetta,2005,action,Stephen Rea
176,V for Vendetta,2005,action,
177,V for Vendetta,2005,action,John Hurt
178,V for Vendetta,2005,action,
179,V for Vendetta,2005,action,Rupert Graves
180,City of God,2002,action,Alexandre Rodrigues
181,City of God,2002,action,
182,City of God,2002,action,Leandro Firmino
183,City of God,2002,action,
184,City of God,2002,action,Phellipe Haagensen
185,City of God,2002,action,
186,City of God,2002,action,Douglas Silva
187,City of God,2002,action,
188,City of God,2002,action,Seu Jorge
189,Terminator 2: Judgment Day,1991,action,Arnold Schwarzenegger
190,Terminator 2: Judgment Day,1991,action,
191,Terminator 2: Judgment Day,1991,action,Linda Hamilton
192,Terminator 2: Judgment Day,1991,action,
193,Terminator 2: Judgment Day,1991,action,Edward Furlong
194,Terminator 2: Judgment Day,1991,action,
195,Terminator 2: Judgment Day,1991,action,Robert Patrick
196,Terminator 2: Judgment Day,1991,action,
197,Terminator 2: Judgment Day,1991,action,Earl Boen
198,Sin City (Frank Miller's Sin City),2005,action,Bruce Willis
199,Sin City (Frank Miller's Sin City),2005,action,
200,Sin City (Frank Miller's Sin City),2005,action,Mickey Rourke
201,Sin City (Frank Miller's Sin City),2005,action,
202,Sin City (Frank Miller's Sin City),2005,action,Clive Owen
203,Sin City (Frank Miller's Sin City),2005,action,
204,Sin City (Frank Miller's Sin City),2005,action,Rosario Dawson
205,Sin City (Frank Miller's Sin City),2005,action,
206,Sin City (Frank Miller's Sin City),2005,action,Jessica Alba
207,Indiana Jones and the Last Crusade,1989,action,Harrison Ford
208,Indiana Jones and the Last Crusade,1989,action,
209,Indiana Jones and the Last Crusade,1989,action,Sean Connery
210,Indiana Jones and the Last Crusade,1989,action,
211,Indiana Jones and the Last Crusade,1989,action,Alison Doody
