name,Película
Cillian Murphy,Oppenheimer
Brendan Fraser,The Whale
Will Smith,Rey Richard: Una familia ganadora
Anthony Hopkins,The Father
Joaquin Phoenix,Joker
Rami Malek,Bohemian Rhapsody
Gary Oldman,Darkest Hour
Casey Affleck,Manchester by the Sea
Leonardo DiCaprio,El renacido
Eddie Redmayne,La teoría del todo
Matthew McConaughey,Dallas Buyers Club
Daniel Day-Lewis,Lincoln
Jean Dujardin,The Artist
Colin Firth,El discurso del rey
Jeff Bridges,Crazy Heart
Sean Penn,Milk
Daniel Day-Lewis,There Will Be Blood
Forest Whitaker,El último rey de Escocia
Philip Seymour Hoffman,Capote
Jamie Foxx,Ray
Sean Penn,Mystic River
Adrien Brody,El pianista
Denzel Washington,Training Day
Russell Crowe,Gladiator
Kevin Spacey,American Beauty
Roberto Benigni,La vida es bella
Jack Nicholson,Mejor... imposible
Geoffrey Rush,Shine
Nicolas Cage,Leaving Las Vegas
Tom Hanks,Forrest Gump
Tom Hanks,Philadelphia
Al Pacino,Scent of a Woman
Anthony Hopkins,The Silence of the Lambs
Jeremy Irons,Reversal of Fortune
Daniel Day-Lewis,Mi pie izquierdo
Dustin Hoffman,Rain Man
Michael Douglas,Wall Street
Paul Newman,El color del dinero
William Hurt,El beso de la mujer araña
F. Murray Abraham,Amadeus
Robert Duvall,Tender Mercies
Ben Kingsley,Gandhi
Henry Fonda,On Golden Pond
Robert De Niro,Toro salvaje
Dustin Hoffman,Kramer vs. Kramer
Jon Voight,Coming Home
Richard Dreyfuss,The Goodbye Girl
Peter Finch,Network
Jack Nicholson,One Flew Over the Cuckoo's Nest
Art Carney,Harry y Tonto
Jack Lemmon,Salvad al tigre
Marlon Brando,El padrino
Gene Hackman,The French Connection
George C. Scott,Patton
John Wayne,True Grit
Cliff Robertson,Charly
Rod Steiger,In the Heat of the Night
Paul Scofield,A Man for All Seasons
Lee Marvin,La ingenua explosiva
Rex Harrison,My Fair Lady
Sidney Poitier,Los lirios del valle
Gregory Peck,To Kill a Mockingbird
Maximilian Schell,Judgment at Nuremberg
Burt Lancaster,Elmer Gantry
Charlton Heston,Ben Hur
David Niven,Mesas separadas
Alec Guinness,El puente sobre el río Kwai
Yul Brynner,El rey y yo
Ernest Borgnine,Marty
Marlon Brando,On the Waterfront
William Holden,Stalag 17
Gary Cooper,High Noon
