,Unnamed: 0_x,title,year,genre,name,Unnamed: 0_y,nominations
0,18,Gladiator,2000,action,Russell Crowe,186,1
1,20,Gladiator,2000,action,Joaquin Phoenix,42,1
2,63,Inception,2010,action,Leonardo DiCaprio,12,1
3,71,Inception,2010,action,Marion Cotillard,10,1
4,72,Inglourious Basterds,2009,action,Brad Pitt,148,1
5,74,Inglourious Basterds,2009,action,Christoph Waltz,296,2
6,87,Pirates of the Caribbean: The Curse of the Black Pearl,2003,action,Geoffrey Rush,258,1
7,90,The Dark Knight,2008,action,Christian Bale,130,1
8,92,The Dark Knight,2008,action,Heath Ledger,223,1
9,96,The Dark Knight,2008,action,Michael Caine,280,2
10,98,The Dark Knight,2008,action,Gary Oldman,256,1
11,126,Men in Black (MIB),1997,action,Tommy Lee Jones,199,1
12,128,Men in Black (MIB),1997,action,Will Smith,83,1
13,144,The Departed,2006,action,Leonardo DiCaprio,12,1
14,148,The Departed,2006,action,Jack Nicholson,312,3
15,171,V for Vendetta,2005,action,Natalie Portman,125,1
16,209,Indiana Jones and the Last Crusade,1989,action,Sean Connery,217,1
17,240,X-Men,2000,action,Anna Paquin,162,1
18,242,X-Men,2000,action,Halle Berry,226,1
19,247,Indiana Jones and the Temple of Doom,1984,action,Ke Huy Quan,56,1
20,254,Batman,1989,action,Jack Nicholson,312,3
21,256,Batman,1989,action,Kim Basinger,18,1
22,261,Batman Begins,2005,action,Christian Bale,130,1
23,267,Batman Begins,2005,action,Cillian Murphy,91,1
24,269,Batman Begins,2005,action,Michael Caine,280,2
25,270,Forrest Gump,1994,comedy,Tom Hanks,278,2
26,278,Forrest Gump,1994,comedy,Sally Field,275,2
27,279,Life Is Beautiful,1997,comedy,Roberto Benigni,190,1
28,288,American Beauty,1999,comedy,Kevin Spacey,295,2
29,294,American Beauty,1999,comedy,Allison Janney,202,1
30,299,The Lion King,1994,comedy,Jeremy Irons,50,1
31,304,Toy Story,1995,comedy,Tom Hanks,278,2
