,name,nominations
0,Linda Hunt,1
1,Marie Dressler,1
2,Margaret Rutherford,1
3,Marcia Gay Harden,1
4,Lupita Nyong'o[1]​[2]​[3]​,1
5,Louise Fletcher,1
6,"Louis Gossett, Jr.",1
7,Loretta Young,1
8,Liza Minnelli,1
9,Lionel Barrymore,1
10,Marion Cotillard,1
11,Lila Kedrova,1
12,Leonardo DiCaprio,1
13,Lee Marvin,1
14,Lee Grant,1
15,Laurence Olivier,1
16,Laura Dern,1
17,Kim Hunter,1
18,Kim Basinger,1
19,Matthew McConaughey,1
20,Mira Sorvino,1
21,Michelle Yeoh,1
22,Michael Douglas,1
23,Mercedes Ruehl,1
24,Mercedes McCambridge,1
25,Melissa Leo,1
26,Maximilian Schell,1
27,Maureen Stapleton,1
28,Kevin Kline,1
29,Mary Steenburgen,1
30,Mary Pickford,1
31,Mary Astor,1
32,Martin Landau,1
33,Martin Balsam,1
34,Marlee Matlin,1
35,Mark Rylance,1
36,Marisa Tomei,1
37,Jo Van Fleet,1
38,John Houseman,1
39,John Gielgud,1
40,Joel Grey,1
41,Joe Pesci,1
42,Joaquin Phoenix,1
43,Joanne Woodward,1
44,Joan Fontaine,1
45,Joan Crawford,1
46,John Mills,1
47,Jim Broadbent,1
48,Jessica Tandy,1
49,Jessica Chastain,1
50,Jeremy Irons,1
51,Jennifer Lawrence,1
52,Jennifer Jones,1
53,Jennifer Hudson,1
54,Jennifer Connelly,1
55,Julianne Moore,1
56,Ke Huy Quan,1
57,Katina Paxinou,1
58,Kathy Bates,1
59,Kate Winslet,1
60,Karl Malden,1
61,Juliette Binoche,1
62,Julie Christie,1
63,Julie Andrews,1
64,Miyoshi Umeki,1
65,Julia Roberts,1
66,Judy Holliday,1
67,Judi Dench,1
68,José Ferrer,1
69,Josephine Hull,1
70,Joseph Schildkraut,1
71,Jon Voight,1
72,John Wayne,1
73,Troy Kotsur,1
74,Whoopi Goldberg,1
75,Wendy Hiller,1
76,Warner Baxter,1
77,Walter Matthau,1
78,Walter Huston,1
79,Diane Keaton,1
80,Dean Jagger,1
81,David Niven,1
82,Daniel Kaluuya,1
83,Will Smith,1
84,Cuba Gooding Jr.,1
85,Colin Firth,1
86,Cloris Leachman,1
87,Cliff Robertson,1
88,Claudette Colbert,1
89,Clark Gable,1
90,Claire Trevor,1
91,Cillian Murphy,1
92,Da'Vine Joy Randolph,1
93,Timothy Hutton,1
94,Tim Robbins,1
95,Tilda Swinton,1
96,Thomas Mitchell,1
97,Teresa Wright,1
98,Tatum O'Neal,1
99,Susan Sarandon,1
100,Susan Hayward,1
101,Christopher Walken,1
102,Ray Milland,1
103,Benicio del Toro,1
104,Burl Ives,1
105,Adrien Brody,1
106,Yul Brynner,1
107,Youn Yuh-jung,1
108,William Hurt,1
109,William Holden,1
110,Olympia Dukakis,1
111,Peggy Ashcroft,1
112,Paul Scofield,1
113,Paul Newman,1
114,Paul Muni,1
115,Paul Lukas,1
116,Patty Duke,1
117,Patricia Neal,1
118,Patricia Arquette,1
119,Penélope Cruz,1
120,Olivia Colman,1
121,Octavia Spencer,1
122,Norma Shearer,1
123,Nicole Kidman,1
124,Nicolas Cage,1
125,Natalie Portman,1
126,Morgan Freeman,1
127,Mo'Nique,1
128,Celeste Holm,1
129,Christopher Plummer,1
130,Christian Bale,1
131,Chris Cooper,1
132,Cher,1
133,Charlton Heston,1
134,Charlize Theron,1
135,Charles Laughton,1
136,Charles Coburn,1
137,Red Buttons,1
138,Catherine Zeta-Jones,1
139,Casey Affleck,1
140,Burt Lancaster,1
141,Victor McLaglen,1
142,Rami Malek,1
143,Rachel Weisz,1
144,Philip Seymour Hoffman,1
145,Peter Finch,1
146,Audrey Hepburn,1
147,Brenda Fricker,1
148,Brad Pitt,1
149,Bing Crosby,1
150,Viola Davis,1
151,Ben Kingsley,1
152,Ben Johnson,1
153,Beatrice Straight,1
154,Barry Fitzgerald,1
155,Brendan Fraser,1
156,Art Carney,1
157,Ariana DeBose,1
158,Anne Revere,1
159,Anne Hathaway,1
160,Anne Baxter,1
161,Anne Bancroft,1
162,Anna Paquin,1
163,Anna Magnani,1
164,Edmond O'Brien,1
165,Ethel Barrymore,1
166,Estelle Parsons,1
167,Ernest Borgnine,1
168,Emma Thompson,1
169,Emil Jannings,1
170,Ellen Burstyn,1
171,Eileen Heckart,1
172,Edmund Gwenn,1
173,Anjelica Huston,1
174,Eddie Redmayne,1
175,Ed Begley,1
176,Dorothy Malone,1
177,Donna Reed,1
178,Donald Crisp,1
179,Don Ameche,1
180,Broderick Crawford,1
181,Brie Larson,1
182,Robert Duvall,1
183,Sandra Bullock,1
184,Sam Rockwell,1
185,Ruth Gordon,1
186,Russell Crowe,1
187,Ronald Colman,1
188,Rod Steiger,1
189,Robin Williams,1
190,Roberto Benigni,1
